gameID,players,total_nRabbits,total_nSquirrels,mleGame,total_nCritters,entropy,representation
14,"[{""playerID"": 53, ""nRabbits"": 5, ""nSquirrels"": 2}, {""playerID"": 53, ""nRabbits"": 2, ""nSquirrels"": 2}, {""playerID"": 53, ""nRabbits"": 0, ""nSquirrels"": 3}, {""playerID"": 53, ""nRabbits"": 2, ""nSquirrels"": 0}]",9,7,0.5625,16,0.6853142072764582,0.3035714285714286
14,"[{""playerID"": 54, ""nRabbits"": 1, ""nSquirrels"": 1}, {""playerID"": 54, ""nRabbits"": 10, ""nSquirrels"": 3}, {""playerID"": 54, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 54, ""nRabbits"": 0, ""nSquirrels"": 1}]",12,5,0.7058823529411765,17,0.605797499372304,0.3173076923076923
14,"[{""playerID"": 55, ""nRabbits"": 10, ""nSquirrels"": 6}, {""playerID"": 55, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 55, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 55, ""nRabbits"": 2, ""nSquirrels"": 1}]",12,9,0.5714285714285714,21,0.6829081047004717,0.32291666666666663
14,"[{""playerID"": 56, ""nRabbits"": 1, ""nSquirrels"": 1}, {""playerID"": 56, ""nRabbits"": 1, ""nSquirrels"": 1}, {""playerID"": 56, ""nRabbits"": 3, ""nSquirrels"": 2}, {""playerID"": 56, ""nRabbits"": 4, ""nSquirrels"": 3}]",9,7,0.5625,16,0.6853142072764582,0.042857142857142844
15,"[{""playerID"": 57, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 57, ""nRabbits"": 7, ""nSquirrels"": 0}, {""playerID"": 57, ""nRabbits"": 9, ""nSquirrels"": 0}, {""playerID"": 57, ""nRabbits"": 4, ""nSquirrels"": 0}]",21,0,1.0,21,-0.0,0.0
15,"[{""playerID"": 58, ""nRabbits"": 10, ""nSquirrels"": 4}, {""playerID"": 58, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 58, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 58, ""nRabbits"": 2, ""nSquirrels"": 3}]",13,8,0.6190476190476191,21,0.6645284386549151,0.3285714285714286
15,"[{""playerID"": 59, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 59, ""nRabbits"": 18, ""nSquirrels"": 1}, {""playerID"": 59, ""nRabbits"": 1, ""nSquirrels"": 2}, {""playerID"": 59, ""nRabbits"": 0, ""nSquirrels"": 1}]",20,4,0.8333333333333334,24,0.45056120886630463,0.40350877192982454
15,"[{""playerID"": 60, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 60, ""nRabbits"": 22, ""nSquirrels"": 5}, {""playerID"": 60, ""nRabbits"": 8, ""nSquirrels"": 1}, {""playerID"": 60, ""nRabbits"": 0, ""nSquirrels"": 1}]",30,8,0.7894736842105263,38,0.5146531654289292,0.42592592592592593
16,"[{""playerID"": 61, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 61, ""nRabbits"": 4, ""nSquirrels"": 0}, {""playerID"": 61, ""nRabbits"": 4, ""nSquirrels"": 0}, {""playerID"": 61, ""nRabbits"": 2, ""nSquirrels"": 1}]",11,1,0.9166666666666666,12,0.2868359830561607,0.12500000000000003
16,"[{""playerID"": 62, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 62, ""nRabbits"": 5, ""nSquirrels"": 0}, {""playerID"": 62, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 62, ""nRabbits"": 3, ""nSquirrels"": 0}]",9,1,0.9,10,0.3250829733914482,0.30000000000000004
16,"[{""playerID"": 63, ""nRabbits"": 3, ""nSquirrels"": 0}, {""playerID"": 63, ""nRabbits"": 3, ""nSquirrels"": 0}, {""playerID"": 63, ""nRabbits"": 1, ""nSquirrels"": 2}, {""playerID"": 63, ""nRabbits"": 0, ""nSquirrels"": 1}]",7,3,0.7,10,0.6108643020548935,0.4166666666666667
16,"[{""playerID"": 64, ""nRabbits"": 2, ""nSquirrels"": 1}, {""playerID"": 64, ""nRabbits"": 4, ""nSquirrels"": 1}, {""playerID"": 64, ""nRabbits"": 2, ""nSquirrels"": 1}, {""playerID"": 64, ""nRabbits"": 3, ""nSquirrels"": 2}]",11,5,0.6875,16,0.6210863745552451,0.0604166666666667
17,"[{""playerID"": 65, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 65, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 65, ""nRabbits"": 6, ""nSquirrels"": 4}, {""playerID"": 65, ""nRabbits"": 4, ""nSquirrels"": 0}]",10,6,0.625,16,0.6615632381579821,0.4125
17,"[{""playerID"": 66, ""nRabbits"": 12, ""nSquirrels"": 2}, {""playerID"": 66, ""nRabbits"": 2, ""nSquirrels"": 0}, {""playerID"": 66, ""nRabbits"": 2, ""nSquirrels"": 0}, {""playerID"": 66, ""nRabbits"": 5, ""nSquirrels"": 0}]",21,2,0.9130434782608695,23,0.2954391918721161,0.07919254658385097
17,"[{""playerID"": 67, ""nRabbits"": 4, ""nSquirrels"": 0}, {""playerID"": 67, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 67, ""nRabbits"": 3, ""nSquirrels"": 0}, {""playerID"": 67, ""nRabbits"": 2, ""nSquirrels"": 3}]",9,4,0.6923076923076923,13,0.6172417697303416,0.4
17,"[{""playerID"": 68, ""nRabbits"": 2, ""nSquirrels"": 1}, {""playerID"": 68, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 68, ""nRabbits"": 1, ""nSquirrels"": 2}, {""playerID"": 68, ""nRabbits"": 3, ""nSquirrels"": 1}]",7,4,0.6363636363636364,11,0.6554817739013927,0.20265151515151517
18,"[{""playerID"": 69, ""nRabbits"": 2, ""nSquirrels"": 1}, {""playerID"": 69, ""nRabbits"": 4, ""nSquirrels"": 0}, {""playerID"": 69, ""nRabbits"": 2, ""nSquirrels"": 0}, {""playerID"": 69, ""nRabbits"": 2, ""nSquirrels"": 0}]",10,1,0.9090909090909091,11,0.30463609734923813,0.1287878787878788
