gameID,roundID,playerID,guess,confidence,idx,treatmentName,nSquirrels,nRabbits,batch,nRabbitsGame,nSquirrelsGame,mleEstimateIndiv,mleEstimateGame
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTTHJCAHJVF492MJE7B6,01HW6K0NFW2WY1AXMWAR24XV48,79,80,10,rerun-unidirectional- 0.7,2,7,1_prereg_6,28,12,77,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTTHJCAHJVF492MJE7B6,01HW6K2Z31ZT5MNKHNQ5GZT8MK,78,60,10,rerun-unidirectional- 0.7,0,4,1_prereg_6,28,12,100,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTTHJCAHJVF492MJE7B6,01HW6K5HH5YD8HP88QZ06GJ3S0,50,100,10,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTTHJCAHJVF492MJE7B6,01HW6K7GSHTQWV3CRRBKTYHCNG,90,82,10,rerun-unidirectional- 0.7,2,1,1_prereg_6,28,12,33,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQYZT6B6VP52DQJ8QHFKX,01HW6KDZS0GEW0D0J4S4NQJ03Q,NA,NA,4,rerun-unidirectional- 0.7,1,3,1_prereg_6,28,12,75,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQYZT6B6VP52DQJ8QHFKX,01HW6KECQ3D5RXCWAKSTHDRM1X,NA,NA,4,rerun-unidirectional- 0.7,2,4,1_prereg_6,28,12,66,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPFNPJ11DAWZ71PTBSQPT,01HW6KF4D2KZ48C4KJH49KG9J9,NA,NA,5,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPFNPJ11DAWZ71PTBSQPT,01HW6KFHAR108RR4VGXGZ7KEN3,NA,NA,5,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQYZT6B6VP52DQJ8QHFKX,01HW6KHDTFDH4JH3VM2RFWZ1SE,NA,NA,4,rerun-unidirectional- 0.7,2,1,1_prereg_6,28,12,33,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPFNPJ11DAWZ71PTBSQPT,01HW6KFMTG67YW55T084A987ND,NA,NA,5,rerun-unidirectional- 0.7,2,6,1_prereg_6,28,12,75,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQYZT6B6VP52DQJ8QHFKX,01HW6KHF5ATAXYDCJZA3FZGYVV,NA,NA,4,rerun-unidirectional- 0.7,1,6,1_prereg_6,28,12,85,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPFNPJ11DAWZ71PTBSQPT,01HW6KG11AF4BKYPX1QCK1307C,NA,NA,5,rerun-unidirectional- 0.7,0,4,1_prereg_6,28,12,100,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NPT2Z2J8XJ3DEW2H37D,01HW6JZ0JJGYAVP0QSJG75XNBJ,82,58,11,rerun-unidirectional- 0.7,3,8,1_prereg_6,28,12,72,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTWG05ANJRFG8437JTGX,01HW6K0NFW2WY1AXMWAR24XV48,NA,NA,11,rerun-unidirectional- 0.7,2,7,1_prereg_6,28,12,77,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NPT2Z2J8XJ3DEW2H37D,01HW6JZE4P1BDZKZJCQCSA3H2J,64,81,11,rerun-unidirectional- 0.7,1,2,1_prereg_6,28,12,66,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTWG05ANJRFG8437JTGX,01HW6K2Z31ZT5MNKHNQ5GZT8MK,NA,NA,11,rerun-unidirectional- 0.7,0,4,1_prereg_6,28,12,100,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NPT2Z2J8XJ3DEW2H37D,01HW6K1TECRQS9FG36R64ZEZAK,84,100,11,rerun-unidirectional- 0.7,1,3,1_prereg_6,28,12,75,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTWG05ANJRFG8437JTGX,01HW6K5HH5YD8HP88QZ06GJ3S0,NA,NA,11,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NPT2Z2J8XJ3DEW2H37D,01HW6K2AZASD95CV8SG08TEHNQ,63,59,11,rerun-unidirectional- 0.7,1,1,1_prereg_6,28,12,50,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTWG05ANJRFG8437JTGX,01HW6K7GSHTQWV3CRRBKTYHCNG,NA,NA,11,rerun-unidirectional- 0.7,2,1,1_prereg_6,28,12,33,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQYZT6B6VP52DQJ8QHFKX,01HW6KDZS0GEW0D0J4S4NQJ03Q,13,79,4,rerun-unidirectional- 0.7,1,3,1_prereg_6,28,12,75,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPFNPJ11DAWZ71PTBSQPT,01HW6KF4D2KZ48C4KJH49KG9J9,50,94,5,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPFNPJ11DAWZ71PTBSQPT,01HW6KFHAR108RR4VGXGZ7KEN3,76,79,5,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQYZT6B6VP52DQJ8QHFKX,01HW6KECQ3D5RXCWAKSTHDRM1X,82,86,4,rerun-unidirectional- 0.7,2,4,1_prereg_6,28,12,66,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPFNPJ11DAWZ71PTBSQPT,01HW6KFMTG67YW55T084A987ND,98,100,5,rerun-unidirectional- 0.7,2,6,1_prereg_6,28,12,75,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQYZT6B6VP52DQJ8QHFKX,01HW6KHDTFDH4JH3VM2RFWZ1SE,31,78,4,rerun-unidirectional- 0.7,2,1,1_prereg_6,28,12,33,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPFNPJ11DAWZ71PTBSQPT,01HW6KG11AF4BKYPX1QCK1307C,66,51,5,rerun-unidirectional- 0.7,0,4,1_prereg_6,28,12,100,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQYZT6B6VP52DQJ8QHFKX,01HW6KHF5ATAXYDCJZA3FZGYVV,78,15,4,rerun-unidirectional- 0.7,1,6,1_prereg_6,28,12,85,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTWG05ANJRFG8437JTGX,01HW6K0NFW2WY1AXMWAR24XV48,76,76,11,rerun-unidirectional- 0.7,2,7,1_prereg_6,28,12,77,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTWG05ANJRFG8437JTGX,01HW6K2Z31ZT5MNKHNQ5GZT8MK,78,68,11,rerun-unidirectional- 0.7,0,4,1_prereg_6,28,12,100,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTWG05ANJRFG8437JTGX,01HW6K5HH5YD8HP88QZ06GJ3S0,50,100,11,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTWG05ANJRFG8437JTGX,01HW6K7GSHTQWV3CRRBKTYHCNG,87,92,11,rerun-unidirectional- 0.7,2,1,1_prereg_6,28,12,33,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQYQE30HV3XPJQF11DJTX,01HW6KDZS0GEW0D0J4S4NQJ03Q,NA,NA,5,rerun-unidirectional- 0.7,1,3,1_prereg_6,28,12,75,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NM4CKG37HM8BB4ES4EM,01HW6JZ0JJGYAVP0QSJG75XNBJ,NA,NA,12,rerun-unidirectional- 0.7,3,8,1_prereg_6,28,12,72,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQYQE30HV3XPJQF11DJTX,01HW6KECQ3D5RXCWAKSTHDRM1X,NA,NA,5,rerun-unidirectional- 0.7,2,4,1_prereg_6,28,12,66,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NM4CKG37HM8BB4ES4EM,01HW6JZE4P1BDZKZJCQCSA3H2J,NA,NA,12,rerun-unidirectional- 0.7,1,2,1_prereg_6,28,12,66,70
