"gameID","playerID","idx","participantID","text","recipient","sender"
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D878K5Y4DATEWT4YNZFYQ",1,"01JD3D8705305G568EFPSFMH1D",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D878K5Y4DATEWT4YNZFYQ",6,"01JD3D8705305G568EFPSFMH1D",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D878K5Y4DATEWT4YNZFYQ",4,"01JD3D8705305G568EFPSFMH1D",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D8FNQMYKZSCEXQJMATBKW",1,"01JD3D8F26Q628JK163RW6X4FW",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D8FNQMYKZSCEXQJMATBKW",4,"01JD3D8F26Q628JK163RW6X4FW",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D8FNQMYKZSCEXQJMATBKW",6,"01JD3D8F26Q628JK163RW6X4FW",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D8FNQMYKZSCEXQJMATBKW",3,"01JD3D8F26Q628JK163RW6X4FW",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D8FNQMYKZSCEXQJMATBKW",7,"01JD3D8F26Q628JK163RW6X4FW",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D8FNQMYKZSCEXQJMATBKW",2,"01JD3D8F26Q628JK163RW6X4FW",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D8FNQMYKZSCEXQJMATBKW",5,"01JD3D8F26Q628JK163RW6X4FW",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D8FNQMYKZSCEXQJMATBKW",8,"01JD3D8F26Q628JK163RW6X4FW",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DAQXXF4WG6XA7ZSQDYMNV",2,"01JD3DAQF179TYTMQYF600MKZD",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DAQXXF4WG6XA7ZSQDYMNV",7,"01JD3DAQF179TYTMQYF600MKZD",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DAQXXF4WG6XA7ZSQDYMNV",4,"01JD3DAQF179TYTMQYF600MKZD",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DAQXXF4WG6XA7ZSQDYMNV",1,"01JD3DAQF179TYTMQYF600MKZD",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DAQXXF4WG6XA7ZSQDYMNV",3,"01JD3DAQF179TYTMQYF600MKZD",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DAQXXF4WG6XA7ZSQDYMNV",6,"01JD3DAQF179TYTMQYF600MKZD",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DAQXXF4WG6XA7ZSQDYMNV",5,"01JD3DAQF179TYTMQYF600MKZD",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DAQXXF4WG6XA7ZSQDYMNV",8,"01JD3DAQF179TYTMQYF600MKZD",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DBAWGESD9SJX413A152X1",8,"01JD3DB9Z2JF9QQNE7M03VK38V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DBAWGESD9SJX413A152X1",5,"01JD3DB9Z2JF9QQNE7M03VK38V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DBAWGESD9SJX413A152X1",6,"01JD3DB9Z2JF9QQNE7M03VK38V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DBAWGESD9SJX413A152X1",4,"01JD3DB9Z2JF9QQNE7M03VK38V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DBAWGESD9SJX413A152X1",1,"01JD3DB9Z2JF9QQNE7M03VK38V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DBAWGESD9SJX413A152X1",3,"01JD3DB9Z2JF9QQNE7M03VK38V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DBAWGESD9SJX413A152X1",7,"01JD3DB9Z2JF9QQNE7M03VK38V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DBAWGESD9SJX413A152X1",2,"01JD3DB9Z2JF9QQNE7M03VK38V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DFXGN2CX2HH359VG42TD2",8,"01JD3DFWTT5GYMN76HR1ZS0E2V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DFXGN2CX2HH359VG42TD2",2,"01JD3DFWTT5GYMN76HR1ZS0E2V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DFXGN2CX2HH359VG42TD2",3,"01JD3DFWTT5GYMN76HR1ZS0E2V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DFXGN2CX2HH359VG42TD2",4,"01JD3DFWTT5GYMN76HR1ZS0E2V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DFXGN2CX2HH359VG42TD2",6,"01JD3DFWTT5GYMN76HR1ZS0E2V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DFXGN2CX2HH359VG42TD2",5,"01JD3DFWTT5GYMN76HR1ZS0E2V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DFXGN2CX2HH359VG42TD2",7,"01JD3DFWTT5GYMN76HR1ZS0E2V",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3DFXGN2CX2HH359VG42TD2",1,"01JD3DFWTT5GYMN76HR1ZS0E2V",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DME57MD661TTXWPT5CAAP",2,"01JD3DMDG2FCPMCCAY00KASZN4",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DME57MD661TTXWPT5CAAP",4,"01JD3DMDG2FCPMCCAY00KASZN4",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DME57MD661TTXWPT5CAAP",5,"01JD3DMDG2FCPMCCAY00KASZN4",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DME57MD661TTXWPT5CAAP",1,"01JD3DMDG2FCPMCCAY00KASZN4",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DME57MD661TTXWPT5CAAP",6,"01JD3DMDG2FCPMCCAY00KASZN4",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DME57MD661TTXWPT5CAAP",7,"01JD3DMDG2FCPMCCAY00KASZN4",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DME57MD661TTXWPT5CAAP",3,"01JD3DMDG2FCPMCCAY00KASZN4",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DME57MD661TTXWPT5CAAP",8,"01JD3DMDG2FCPMCCAY00KASZN4",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMHPJ2ET830TNTTDSTMNN",5,"01JD3DMHANN39BXQQZZW6VAPV3",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMHPJ2ET830TNTTDSTMNN",3,"01JD3DMHANN39BXQQZZW6VAPV3",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMHPJ2ET830TNTTDSTMNN",6,"01JD3DMHANN39BXQQZZW6VAPV3",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMHPJ2ET830TNTTDSTMNN",2,"01JD3DMHANN39BXQQZZW6VAPV3",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMHPJ2ET830TNTTDSTMNN",4,"01JD3DMHANN39BXQQZZW6VAPV3",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMHPJ2ET830TNTTDSTMNN",8,"01JD3DMHANN39BXQQZZW6VAPV3",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMHPJ2ET830TNTTDSTMNN",1,"01JD3DMHANN39BXQQZZW6VAPV3",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMHPJ2ET830TNTTDSTMNN",7,"01JD3DMHANN39BXQQZZW6VAPV3",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMM27SWJX43JH9QJPXREB",6,"01JD3DMKRY9MJ1RHFY4XBB5XJS",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMM27SWJX43JH9QJPXREB",1,"01JD3DMKRY9MJ1RHFY4XBB5XJS",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMM27SWJX43JH9QJPXREB",3,"01JD3DMKRY9MJ1RHFY4XBB5XJS",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMM27SWJX43JH9QJPXREB",2,"01JD3DMKRY9MJ1RHFY4XBB5XJS",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMM27SWJX43JH9QJPXREB",8,"01JD3DMKRY9MJ1RHFY4XBB5XJS",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMM27SWJX43JH9QJPXREB",5,"01JD3DMKRY9MJ1RHFY4XBB5XJS",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMM27SWJX43JH9QJPXREB",4,"01JD3DMKRY9MJ1RHFY4XBB5XJS",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3DMM27SWJX43JH9QJPXREB",7,"01JD3DMKRY9MJ1RHFY4XBB5XJS",<chr>,<chr>,<df[,3]>
"01JD3DPT3V52F65PXZNDRNF6EN","01JD3DNXKTDAT0H3HTWV0R5ACT",4,"01JD3DNWSVRMAV0BNKZ01ZYBF0",<chr>,<chr>,<df[,3]>
"01JD3DPT3V52F65PXZNDRNF6EN","01JD3DNXKTDAT0H3HTWV0R5ACT",5,"01JD3DNWSVRMAV0BNKZ01ZYBF0",<chr>,<chr>,<df[,3]>
"01JD3DPT3V52F65PXZNDRNF6EN","01JD3DNXKTDAT0H3HTWV0R5ACT",2,"01JD3DNWSVRMAV0BNKZ01ZYBF0",<chr>,<chr>,<df[,3]>
"01JD3DPT3V52F65PXZNDRNF6EN","01JD3DNXKTDAT0H3HTWV0R5ACT",1,"01JD3DNWSVRMAV0BNKZ01ZYBF0",<chr>,<chr>,<df[,3]>
"01JD3DPT3V52F65PXZNDRNF6EN","01JD3DNXKTDAT0H3HTWV0R5ACT",7,"01JD3DNWSVRMAV0BNKZ01ZYBF0",<chr>,<chr>,<df[,3]>
"01JD3DPT3V52F65PXZNDRNF6EN","01JD3DNXKTDAT0H3HTWV0R5ACT",3,"01JD3DNWSVRMAV0BNKZ01ZYBF0",<chr>,<chr>,<df[,3]>
"01JD3DPT3V52F65PXZNDRNF6EN","01JD3DNXKTDAT0H3HTWV0R5ACT",6,"01JD3DNWSVRMAV0BNKZ01ZYBF0",<chr>,<chr>,<df[,3]>
