id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt,guess,guessLastChangedAt
01HWBAK7ZYA62R7A6QYCE7MS3S,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:26.398375019Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:26.398375019Z,01HWBAHNC6SY5M104TM4T6V4GF,2024-04-25T19:09:26.398375019Z,01HWBAHNPD6FC69STR9E8HS1NZ,2024-04-25T19:09:26.398375019Z,01HWBA972AJ49NS7ZD8BF4DTCH,2024-04-25T19:09:26.398375019Z,,,,,,
01HWBAK802NDRS7ESEJTXF6HAF,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:26.402672379Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:26.402672379Z,01HWBAHNC6SY5M104TM4T6V4GF,2024-04-25T19:09:26.402672379Z,01HWBAHNPD6FC69STR9E8HS1NZ,2024-04-25T19:09:26.402672379Z,01HWBABKET37DZYJ7E3NHVVX2G,2024-04-25T19:09:26.402672379Z,,,,,,
01HWBAK80831AMP1R5QCTTSEBK,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:26.408114795Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:26.408114795Z,01HWBAHNC6SY5M104TM4T6V4GF,2024-04-25T19:09:26.408114795Z,01HWBAHNPD6FC69STR9E8HS1NZ,2024-04-25T19:09:26.408114795Z,01HWBABXZMSNR5EBTHEF3JBER9,2024-04-25T19:09:26.408114795Z,,,,,,
01HWBAK80CK0EFDZW6ZVGR74PT,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:26.412995196Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:26.412995196Z,01HWBAHNC6SY5M104TM4T6V4GF,2024-04-25T19:09:26.412995196Z,01HWBAHNPD6FC69STR9E8HS1NZ,2024-04-25T19:09:26.412995196Z,01HWBAEJ2C51JGVCYQRZHD39Q6,2024-04-25T19:09:26.412995196Z,,,,,,
01HWBAK80H3GVCD5ZYMD2Y91GG,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:26.417889763Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:26.417889763Z,01HWBAHNC6SY5M104TM4T6V4GF,2024-04-25T19:09:26.417889763Z,01HWBAHNPD6FC69STR9E8HS1NZ,2024-04-25T19:09:26.417889763Z,01HWBAEKTGGHNTQXVW4V9SYC2R,2024-04-25T19:09:26.417889763Z,,,,,,
01HWBAK80RZXZ9JZGYS23JG95G,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:26.424454268Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:26.424454268Z,01HWBAHNC6SY5M104TM4T6V4GF,2024-04-25T19:09:26.424454268Z,01HWBAHNPD6FC69STR9E8HS1NZ,2024-04-25T19:09:26.424454268Z,01HWBAH475G2EGG93V3TXRDPKA,2024-04-25T19:09:26.424454268Z,,,,,,
01HWBAK80WBCYRR0X1T1T9P5MM,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:26.428981844Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:26.428981844Z,01HWBAHNC6SY5M104TM4T6V4GF,2024-04-25T19:09:26.428981844Z,01HWBAHNPD6FC69STR9E8HS1NZ,2024-04-25T19:09:26.428981844Z,01HWBAHG5S80H9CCFQ14YMWGPJ,2024-04-25T19:09:26.428981844Z,,,,,,
01HWBAKVZRJAJ7KT967JNYQJC9,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:46.872313988Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:09:46.872313988Z,01HWBAF6N8MVYAQ12996B1ACHE,2024-04-25T19:09:46.872313988Z,01HWBAF7009WN4HATKAEKGF2FC,2024-04-25T19:09:46.872313988Z,01HWBA3A7V3YT5FS2XTCCE1P1T,2024-04-25T19:09:46.872313988Z,,,,,,
01HWBAKVZWG4Z0R4GX55RZCQE6,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:46.876767196Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:09:46.876767196Z,01HWBAF6N8MVYAQ12996B1ACHE,2024-04-25T19:09:46.876767196Z,01HWBAF7009WN4HATKAEKGF2FC,2024-04-25T19:09:46.876767196Z,01HWBAAK6WPSQEHZQW9D1MKCCV,2024-04-25T19:09:46.876767196Z,,,,,,
01HWBAKW00HET8A4962YNRCRKX,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:46.880949418Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:09:46.880949418Z,01HWBAF6N8MVYAQ12996B1ACHE,2024-04-25T19:09:46.880949418Z,01HWBAF7009WN4HATKAEKGF2FC,2024-04-25T19:09:46.880949418Z,01HWBACYHBBN6M2RNFT6RVDYME,2024-04-25T19:09:46.880949418Z,,,,,,
